facet,category,scoring_guidance,is_scoreable,not_scoreable_reason,display_name,evaluation_type,score_direction,observable_in_text,weight,example_high_score,example_low_score
Comfort with Vulnerability,other,"1=very low, 5=very high",True,,Comfort with Vulnerability,behavioral,neutral,partially,0.3,High Comfort with Vulnerability observed in this context,Low Comfort with Vulnerability observed in this context
Anticipativeness,other,"1=very low, 5=very high",True,,Anticipativeness,behavioral,neutral,partially,0.3,High Anticipativeness observed in this context,Low Anticipativeness observed in this context
Home-security-system presence,other,"1=very low, 5=very high",True,,Home-security-system presence,behavioral,neutral,partially,0.3,High Home-security-system presence observed in this context,Low Home-security-system presence observed in this context
HEXACO domain: Honesty-Humility,other,"1=very low, 5=very high",True,,Honesty-Humility,behavioral,positive,partially,0.3,High Honesty-Humility observed in this context,Low Honesty-Humility observed in this context
Eating Habits (Home-Cooked vs. Eating Out),other,"1=very low, 5=very high",True,,Eating Habits (Home-Cooked vs. Eating Out),behavioral,neutral,partially,0.3,High Eating Habits (Home-Cooked vs. Eating Out) observed in this context,Low Eating Habits (Home-Cooked vs. Eating Out) observed in this context
Decision-Making Confidence,other,"1=very low, 5=very high",True,,Decision-Making Confidence,behavioral,neutral,partially,0.3,High Decision-Making Confidence observed in this context,Low Decision-Making Confidence observed in this context
Alignment with societal roles,social,"1=no social awareness, 5=highly socially aware",True,,Alignment with societal roles,social,neutral,partially,0.7,They demonstrated great Alignment with societal roles with the team,No Alignment with societal roles was shown toward others
Connectedness: Belief in interconnections,other,"1=very low, 5=very high",True,,Connectedness: Belief in interconnections,behavioral,neutral,partially,0.3,High Connectedness: Belief in interconnections observed in this context,Low Connectedness: Belief in interconnections observed in this context
Quirkiness,other,"1=very low, 5=very high",True,,Quirkiness,behavioral,neutral,partially,0.3,High Quirkiness observed in this context,Low Quirkiness observed in this context
Creative resilience,other,"1=very low, 5=very high",True,,Creative resilience,behavioral,neutral,partially,0.3,High Creative resilience observed in this context,Low Creative resilience observed in this context
Rapid cognitive processing,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Rapid cognitive processing,cognitive,neutral,partially,0.5,Their Rapid cognitive processing was clearly evident in the solution,No evidence of Rapid cognitive processing in the response
Cordiality,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Cordiality,affective,neutral,directly,0.9,I feel deeply Cordiality about this situation,No sign of Cordiality in this message
Types of Mindfulness Techniques Used,other,"1=very low, 5=very high",True,,Types of Mindfulness Techniques Used,behavioral,neutral,partially,0.3,High Types of Mindfulness Techniques Used observed in this context,Low Types of Mindfulness Techniques Used observed in this context
Economic reasoning,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Economic reasoning,cognitive,neutral,partially,0.5,Their Economic reasoning was clearly evident in the solution,No evidence of Economic reasoning in the response
Conformity,other,"1=very low, 5=very high",True,,Conformity,behavioral,neutral,partially,0.3,High Conformity observed in this context,Low Conformity observed in this context
Pet-enrichment activities count,other,"1=very low, 5=very high",True,,Pet-enrichment activities count,behavioral,neutral,not_observable,0.3,High Pet-enrichment activities count observed in this context,Low Pet-enrichment activities count observed in this context
Aestheticism,other,"1=very low, 5=very high",True,,Aestheticism,behavioral,neutral,partially,0.3,High Aestheticism observed in this context,Low Aestheticism observed in this context
Type of Support Preferred (Emotional vs. Practical),emotion,"1=completely absent, 5=strongly expressed in tone",True,,Type of Support Preferred (Emotional vs. Practical),affective,neutral,directly,0.9,I feel deeply Type of Support Preferred (Emotional vs. Practical) about this situation,No sign of Type of Support Preferred (Emotional vs. Practical) in this message
Mental Arithmetic Speed,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Mental Arithmetic Speed,cognitive,neutral,partially,0.5,Their Mental Arithmetic Speed was clearly evident in the solution,No evidence of Mental Arithmetic Speed in the response
Patience: Resistance to anger,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Patience: Resistance to anger,affective,neutral,directly,0.9,I feel deeply Patience: Resistance to anger about this situation,No sign of Patience: Resistance to anger in this message
Flawlessness,personality,"1=trait completely absent, 5=trait strongly present",True,,Flawlessness,trait,neutral,partially,0.6,I always approach everything with strong Flawlessness,Complete absence of Flawlessness in behavior
Self-Efficacy,other,"1=very low, 5=very high",True,,Self-Efficacy,behavioral,neutral,partially,0.3,High Self-Efficacy observed in this context,Low Self-Efficacy observed in this context
Spelling Accuracy,linguistic,"1=very poor, 5=excellent quality",True,,Spelling Accuracy,linguistic,neutral,directly,0.8,The message shows excellent Spelling Accuracy throughout,The message lacks any Spelling Accuracy quality
Peacefulness,other,"1=very low, 5=very high",True,,Peacefulness,behavioral,neutral,partially,0.3,High Peacefulness observed in this context,Low Peacefulness observed in this context
Doggedness,personality,"1=trait completely absent, 5=trait strongly present",True,,Doggedness,trait,neutral,partially,0.6,I always approach everything with strong Doggedness,Complete absence of Doggedness in behavior
Decency,personality,"1=trait completely absent, 5=trait strongly present",True,,Decency,trait,positive,partially,0.6,I always approach everything with strong Decency,Complete absence of Decency in behavior
Processed-food frequency,other,"1=very low, 5=very high",True,,Processed-food frequency,behavioral,neutral,not_observable,0.3,High Processed-food frequency observed in this context,Low Processed-food frequency observed in this context
